model,features,test_auc,test_pr_auc,top_decile_lift,auc_delta,lift_delta,recommendation
BASELINE (V4.1 features),22,0.6276512519966035,0.05136659747582089,2.0514083423118366,0.0,0.0,BASELINE
+ firm_aum_bucket,23,0.627284589486435,0.05022111786600287,1.7159336697909156,-0.00036666251016859164,-0.335474672520921,HARMFUL - Degrades performance
+ has_accolade,23,0.6230842997191395,0.04777199598857986,1.858928142273492,-0.004566952277464065,-0.19248020003834454,HARMFUL - Degrades performance
+ combined_promising,24,0.6275495662397349,0.05073071030223393,1.7341882832993298,-0.00010168575686864134,-0.3172200590125067,HARMFUL - Degrades performance
