feature,importance
mobility_3yr,152.8565216064453
is_dual_registered,133.39735412597656
has_email,132.5778350830078
has_firm_data,119.36776733398438
recent_mover_x_bleeding,93.50110626220703
days_since_last_move,85.28819274902344
independent_ria_x_ia_rep,84.56620025634766
tenure_bucket_encoded,80.56855010986328
tenure_months,77.84080505371094
industry_tenure_months,77.67198944091797
is_ia_rep_type,76.91461944580078
firm_departures_corrected,72.13867950439453
is_recent_mover,71.29109954833984
is_independent_ria,70.39582061767578
firm_net_change_12mo,69.85797119140625
firm_rep_count_at_contact,69.39672088623047
experience_years,66.62519073486328
is_broker_protocol,66.44871520996094
short_tenure_x_high_mobility,66.41217041015625
has_linkedin,63.4339485168457
mobility_x_heavy_bleeding,62.76817321777344
firm_stability_tier_encoded,58.64702224731445
is_wirehouse,58.02885818481445
bleeding_velocity_encoded,57.88570022583008
tenure_bucket_x_mobility,43.210304260253906
